fold,condition,score_type,cosine_similarity
1,Base E5,positive_score,0.8232265710830688
1,Base E5,positive_score,0.8097987771034241
1,Base E5,positive_score,0.8763762712478638
1,Base E5,positive_score,0.822920024394989
1,Base E5,positive_score,0.8042126893997192
1,Base E5,positive_score,0.8111976385116577
1,Base E5,positive_score,0.8713037967681885
1,Base E5,positive_score,0.8045096397399902
1,Base E5,positive_score,0.9047117233276368
1,Base E5,positive_score,0.8468108177185059
1,Base E5,positive_score,0.8780330419540405
1,Base E5,positive_score,0.8528611063957214
1,Base E5,positive_score,0.8768253922462463
1,Base E5,positive_score,0.8063009977340698
1,Base E5,positive_score,0.8674528002738953
1,Base E5,positive_score,0.8356540203094482
1,Base E5,positive_score,0.8071227669715881
1,Base E5,positive_score,0.809410572052002
1,Base E5,positive_score,0.8612270355224609
1,Base E5,positive_score,0.8298658132553101
1,Base E5,positive_score,0.8162890672683716
1,Base E5,positive_score,0.8301575779914856
1,Base E5,positive_score,0.8404598832130432
1,Base E5,positive_score,0.8462228775024414
1,Base E5,positive_score,0.8181118369102478
1,Base E5,positive_score,0.7880464792251587
1,Base E5,positive_score,0.8442749977111816
1,Base E5,positive_score,0.8183652758598328
1,Base E5,positive_score,0.8128721714019775
1,Base E5,positive_score,0.8696404695510864
1,Base E5,positive_score,0.844894528388977
1,Base E5,positive_score,0.8486229777336121
1,Base E5,positive_score,0.853696346282959
1,Base E5,positive_score,0.8481947779655457
1,Base E5,positive_score,0.8677421808242798
1,Base E5,positive_score,0.8424676656723022
1,Base E5,positive_score,0.80990070104599
1,Base E5,positive_score,0.8689265847206116
1,Base E5,positive_score,0.8945344686508179
1,Base E5,positive_score,0.8558268547058105
1,Base E5,positive_score,0.8514142632484436
1,Base E5,positive_score,0.8031166791915894
1,Base E5,positive_score,0.8557131290435791
1,Base E5,positive_score,0.8083533048629761
1,Base E5,positive_score,0.8294036388397217
1,Base E5,positive_score,0.8239842057228088
1,Base E5,positive_score,0.8494610786437988
1,Base E5,positive_score,0.8145764470100403
1,Base E5,positive_score,0.7962989211082458
1,Base E5,positive_score,0.7920260429382324
1,Base E5,positive_score,0.817925214767456
1,Base E5,positive_score,0.8064857125282288
1,Base E5,positive_score,0.8556172251701355
1,Base E5,positive_score,0.8360595703125
1,Base E5,positive_score,0.8170745968818665
1,Base E5,positive_score,0.8227254152297974
